id,MLS,ss,address,city,zip_code,zoning,property_type,floor_plan,bedrooms,baths,garage_spaces,year_built,list_price,close_price,main_bed,sold_concessions,terms_sale,closed_date,area,subarea,lp_sf,sp_sf,em,total_sf,finished_sf,hoa_fee,lot_size,main_beds,school_district,heat_air,total_acres,fireplace,listagent,buyersagent,dom,cdom,taxid,listoffice,selloffice
66938,4286331,False,9084 Vanderwood RD,Colorado Springs,80908,UNKNOWN,Single Family,2 Story,3,3,2,2016,248075,248075,False,0,VA,2016-03-10,FAN - Falcon North,Trails At Forest Meadows,137,1,250,1811,1811,98,5997,0,49-Falcon,"Central Air, Forced Air, Natural Gas",0,None,635504004,230015231,0,0,5305101030,Non Member,"Pink Realty, Inc."
75244,8160957,False,6486 Rockville DR,Colorado Springs,80923,R-1,Single Family,2 Story,2,3,1,2004,184900,184900,False,5547,Conventional,2016-05-31,PWR - Powers,Ridgeview At Stetson Hills,144,1,1000,1280,1280,76,4228,0,49-Falcon,Forced Air,0,None,219524084,230008033,24,24,5318207001,Walker Realty Group,The Platinum Group
74724,3290496,False,15520 Bar X RD,Colorado Springs,80908,RR-5,Single Family,Bi-level,4,3,3,1992,529900,521000,False,750,Cash,2016-06-01,BLA - Black Forest,Wildwood Village,138,0.98,5500,3850,3807,45,265716,0,38-Lewis-Palmer,"Ceiling Fan, Forced Air, Natural Gas",6,"Main, One, Stove, Wood",230014894,230017249,56,56,5128008012,The Platinum Group,Keller Williams Partners Realty
74758,3416963,False,8445 Winding Passage DR,Colorado Springs,80924,R-1-6000,Single Family,2 Story,4,3,3,2004,359900,355000,False,2000,Conventional,2016-06-01,BRI - Briargate,Wolf Ranch,95,0.99,3500,3783,2503,26,8859,0,20-Academy,"Ceiling Fan, Central Air, Forced Air, Natural Gas",0,"Gas, Main, One",230011332,230010957,2,4,6301112010,"RE/MAX Properties, Inc.",The Platinum Group
74773,7610068,False,6015 Abbey Pond LN,Colorado Springs,80924,"AO, PUD",Single Family,Ranch,5,3,3,2006,435000,453500,True,0,VA,2016-06-01,BRI - Briargate,Wolf Ranch,128,1.04,4000,3400,3247,26,9120,2,20-Academy,"Ceiling Fan, Central Air, Forced Air, Natural Gas",0,"Gas, Main, One",230014190,230012419,2,2,5231305039,Equity Colorado,The Platinum Group
74776,8668640,False,5925 Revelstoke DR,Colorado Springs,80924,R-1,Single Family,2 Story,6,4,3,2013,468500,472000,False,6500,Conventional,2016-06-01,BRI - Briargate,Wolf Ranch,102,1.01,4500,4590,4590,26,6600,0,20-Academy,"Central Air, Forced Air",0,One,205508361,230012099,15,15,6236115002,Tri-Star Realty,Keller Williams Clients Choice Rlty
74781,1248467,False,3035 Hollycrest DR,Colorado Springs,80920,PUD,Single Family,Ranch,5,4,3,2004,648500,643000,True,0,Cash,2016-06-01,BRI - Briargate,Pine Creek,128,0.99,6000,5048,4997,72,11519,3,20-Academy,"Central Air, Forced Air",0,"Basement, Gas, Main",230003071,230013913,15,15,6227301007,The Platinum Group,Redfin Corporation
74794,6665807,False,2503 E Willamette AV,Colorado Springs,80909,R5,Single Family,Ranch,4,2,3,1945,155000,150000,True,1000,VA,2016-06-01,CEN - Central,JR Marks,101,0.97,0,1528,1528,0,7500,3,11-Colorado Springs,See Prop Desc Remarks,0,None,230015032,635504004,504,506,6409415008,Keller Williams Clients Choice Rlty,Non Member
74798,6649643,False,1019 Stewart PL,Colorado Springs,80910,R-1,Single Family,Ranch,4,2,0,1965,159900,169900,False,0,FHA,2016-06-01,CEN - Central,Prospect Park,111,1.06,1000,1440,1404,0,6985,2,11-Colorado Springs,Forced Air,0,None,230015225,635504004,7,7,6421303002,"MountainPeaks Real Estate, Inc.",Non Member
74807,1231190,False,2317 N Meade AV,Colorado Springs,80907,R1-6,Single Family,Ranch,3,1,1,1953,205000,203000,True,0,Conventional,2016-06-01,CEN - Central,Belleville,186,0.99,2000,1103,1103,0,6100,3,11-Colorado Springs,"Forced Air, Natural Gas",0,None,230011379,230017238,7,7,6405111010,Assist-2-Sell Buyers & Sellers Choice,ERA Shields Real Estate                           
